fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 203707	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	679	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.116442212945253	0.620141147691607	1657	1940	12598	58201202.3988006	1
20240503 203752	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.338295321238792	0.688560357001972	1402	1486	10476	59317187.4062968	2
20240503 203828	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	66	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.368849628071935	0.756701571551134	823	1192	10737	58947500.7496252	3
20240503 203949	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	988	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.207485957027722	0.652841042911386	39	456	12697	57657245.8770615	4
20240503 204133	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	990	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0424421492051256	0.58984832307637	1500	1673	10841	60070523.2383808	5
20240503 204350	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	961	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.243669583994377	0.845772706995654	1182	678	11116	58045523.2383808	6
20240503 204528	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	572	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.190173889492852	0.545496719712	544	915	12141	58730283.3583208	7
20240503 204655	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	747	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.260531921063233	0.888848961466128	421	1074	12472	58871436.2818591	8
20240503 204822	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	700	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.415484429826206	0.6293954721918	676	811	12557	56456136.4317841	9
20240503 204855	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	88	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.290488329970906	0.726328796299964	1874	1847	12134	59549364.3178411	10
20240503 205135	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1260	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0713761257044061	0.857304004042929	1936	538	11231	59464781.1094453	11
20240503 205319	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	332	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.031696986097487	0.564620512489012	905	284	12041	61970973.0134933	12
20240503 205512	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	351	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.401693661799895	0.508955064343208	1704	947	9816	55025343.3283358	13
20240503 205543	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.468036906809092	0.799595661668782	182	1632	10086	56234473.7631184	14
20240503 205643	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	261	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.475857335697412	0.803811210537733	377	197	10807	56854322.3388306	15
20240503 205719	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	93	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.152025137848681	0.701898286024771	1074	1321	10563	60477776.6116941	16
20240503 205953	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1327	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.028285187686754	0.643666614933202	616	713	10441	60410493.2533733	17
20240503 210219	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	283	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0371874475118232	0.501661176473534	1189	100	12269	61677497.7511244	18
20240503 210404	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	178	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0474138808552213	0.567806110935866	930	141	14367	61589554.7226387	19
20240503 210739	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	535	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0212648429117035	0.57029358188636	1182	100	12166	61621280.3598201	20
20240503 210931	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	371	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0292658361662684	0.519761938739074	996	360	12817	61818985.0074963	21
20240503 211246	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	921	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0333380674698099	0.784503123037738	1028	202	12942	60371901.0494753	22
20240503 211501	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	195	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0323239607085326	0.543929629044863	907	100	12488	60426554.7226387	23
20240503 211751	884	86099	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	985	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0411832879628885	0.500658494127846	1270	464	11599	60266568.2158921	24
