numero_de_cliente,Predicted
29183733,0
29184468,0
29185245,1
29186441,0
29186475,0
29187730,0
29187764,0
29187961,0
29189899,0
29189993,0
29190113,0
29192179,0
29193101,0
29193281,0
29193324,0
29195356,0
29195433,0
29196099,0
29196902,0
29198055,0
29198891,0
29199242,0
29200335,0
29200343,0
29200514,0
29200651,0
29200727,0
29200770,0
29200984,0
29201086,0
29201359,0
29201599,0
29201701,0
29201897,0
29202119,0
29202512,0
29203324,0
29203657,0
29204767,0
29205228,0
29205441,1
29205663,0
29205988,0
29206065,0
29206586,0
29207790,0
29207901,0
29208268,0
29208439,0
29210856,0
29211778,0
29211889,0
29213699,0
29214032,0
29214434,0
29215330,0
29215595,0
29215689,0
29216697,0
29216714,0
29217414,0
29217500,0
29217713,0
29217944,0
29218080,0
29218302,0
29218635,0
29219250,0
29220036,0
29220198,0
29220335,1
29220659,0
29220873,0
29221163,0
29223409,0
29223674,0
29224049,0
29224058,0
29224485,0
29225467,0
29225834,0
29226090,0
29226475,0
29226748,0
29227226,0
29227628,0
29228003,0
29229122,0
29229250,0
29231155,0
29231727,0
29233708,0
29233896,0
29234058,0
29234425,1
29234519,0
29235194,0
29236620,0
29236868,0
29237004,0
29237056,0
29239062,0
29239079,0
29239233,0
29239276,0
29239908,0
29240027,0
29240386,0
29240668,0
29240787,0
29241428,0
29241462,0
29241599,0
29241804,0
29242914,0
29243631,0
29244366,0
29247636,1
29247850,0
29248448,0
29248729,0
29249609,0
29250062,0
29250864,0
29251231,0
29251667,0
29251718,0
29251906,0
29251923,0
29252085,0
29252273,0
29252564,0
29252606,0
29253033,0
29255296,0
29255493,0
29255740,0
29256612,0
29257551,0
29257790,0
29257867,0
29258584,0
29258593,0
29259199,0
29261565,0
29263887,1
29264673,0
29264904,0
29266022,0
29266637,0
29267141,0
29267243,0
29267295,0
29267927,0
29268328,0
29268644,0
29269327,0
29269464,0
29269677,0
29270813,0
29271488,0
29271838,0
29273315,0
29273998,0
29274460,0
29276424,0
29276646,0
29276723,0
29277081,0
29277175,1
29278567,0
29278653,0
29279088,0
29279276,0
29279823,0
29280292,0
29280480,0
29280890,1
29281095,0
29281616,0
29281889,0
29282197,0
29283110,0
29283409,0
29283563,0
29284246,0
29284331,0
29284665,0
29286091,0
29287807,0
29287816,0
29287875,0
29288251,0
29289361,0
29290215,1
29290583,1
29291607,0
29292034,0
29292094,0
29292171,0
29292180,1
29292453,0
29292846,0
29293298,0
29294255,0
29295356,0
29295519,0
29295903,0
29295980,0
29296168,0
29297201,0
29297517,0
29297636,0
29297679,0
29298379,0
29298396,0
29298431,0
29299635,0
29300318,0
29300335,0
29300881,0
29300941,0
29301539,0
29301872,0
29302760,0
29303076,0
29304084,0
29304511,0
29304673,0
29305083,0
29305638,0
29305809,0
29306825,0
29306859,0
29307013,0
29307739,0
29309353,0
29309609,0
29309823,0
29314682,0
29314912,0
29315442,0
29315630,0
29316236,0
29316458,0
29316595,0
29317022,0
29319353,0
29319447,0
29320728,0
29320873,0
29321087,0
29321104,1
29321163,0
29322410,0
29323725,0
29323845,0
29324537,0
29324588,0
29324759,0
29325391,0
29326526,0
29326629,0
29330267,0
29331172,0
29331548,1
29332120,0
29333982,0
29334332,0
29334690,0
29334750,0
29336236,0
29336245,0
29336586,0
29336595,0
29336825,0
29336868,0
29337013,0
29337543,0
29338004,0
29338140,0
29339037,0
29339652,0
29340822,0
29342709,0
29343486,0
29343597,0
29344204,0
29344588,0
29344682,0
29344716,0
29344801,0
29344861,0
29345288,0
29345860,0
29346321,0
29346509,0
29346748,0
29346800,0
29347526,0
29347841,0
29347901,0
29347918,0
29347978,0
29348209,0
29348781,0
29348875,0
29350813,0
29351010,0
29351309,0
29351317,0
29351565,0
29351719,0
29351906,0
29352718,0
29352931,0
29353939,0
29354195,0
29354605,0
29354904,0
29355408,0
29355416,0
29356458,0
29356928,1
29357321,0
29357816,0
29359686,0
29360198,0
29360976,0
29361146,1
29361334,0
29361420,0
29361471,0
29361924,0
29361966,0
29362163,0
29362581,0
29362871,0
29363051,0
29363973,0
29364417,1
29364596,0
29365083,0
29365245,0
29365502,0
29366432,0
29366552,0
29367005,0
29367201,0
29367321,0
29367645,0
29368585,0
29368909,0
29370130,0
29370327,0
29370668,1
29371497,0
29372069,0
29372086,0
29372146,0
29372974,0
29374204,0
29375271,0
29375374,0
29377483,0
29377602,1
29377799,0
29377867,0
29378508,0
29378593,0
29378875,0
29380275,0
29382060,0
29382069,0
29382718,0
29383102,0
29385365,0
29385604,0
29386373,0
29388363,0
29389054,0
29389293,0
29389447,0
29389550,0
29389584,0
29389626,0
29389891,0
29390318,0
29391044,0
29391070,0
29391317,0
29391445,0
29391591,0
29392137,0
29392769,0
29393068,0
29393401,0
29393589,0
29395297,0
29395664,0
29396646,0
29397406,0
29397944,0
29399259,0
29400088,0
29400771,0
29401360,0
29401565,0
29401915,0
29402778,0
29402820,0
29403930,0
29404426,0
29404571,0
29404947,0
29405297,0
29405519,0
29406168,0
29406356,0
29407073,0
29407773,0
29407919,0
29408790,0
29408892,0
29409661,0
29410352,0
29410762,0
29411309,0
29411411,0
29411428,0
29411932,0
29412205,0
29412214,0
29412248,0
29412684,0
29412743,0
29413051,0
